episode_no,file,title,status,sentence_index,episode_tickers,sentence_tickers,actions,instruments,contract_counts,strikes_or_spreads,prices_and_returns,evidence
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,990,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,"vertical_spread, butterfly",,,,週一到週四，我以垂直價差精耕細作，在方寸間積攢了每一分確定，待到週五便佈下蝴蝶於末日破解，將所有蟄伏的力量彙集於一點，綻放出決絕的收益。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,997,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,butterfly,,,,上一週我做末日蝴蝶策略虧損了，可這一週我就敢用同樣的策略翻倍的贏回來。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1000,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,all_in,,,,"成本只有4000美金, 4000美金",當然了，阿寶並不贊成全倉梭哈期權這種行為，我敢all in，是因為我挑戰的初始成本只有4000美金。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1001,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,,,,,相反，希望大家意識到期權的風險，遵循阿寶之前的凡人修仙法。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1018,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,open,stock,,,,對於我們普通散戶來說，如果看到這個天大的利好新聞和暴漲的股價，最忌諱的就是FOMO入場追高。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1019,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,open,,,,,如果你敢於入場衝鋒，那我敬你是勇士，賺到錢是勇氣給予你的饋贈，但這不符合我的交易系統，所以我選擇靜觀其變，耐心等待情緒面消散。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1023,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,close,call,94000張,180 call,,我首先分析了英偉達本週的期權open interest資料，發現未平倉數量最大的是94000張180 call。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1029,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,,,,,請問我採取什麼樣的期權策略最合適？
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1030,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,butterfly,,,,一沒錯，是蝴蝶。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1031,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,"buy, sell","call, butterfly","一張, 兩張, 一張","175 call, 180 call, 185 call","買入一張175 , 賣出兩張180 , 買入一張185 , 成本1.5",我構建了175、180、185的蝴蝶策略，買入一張175 call，賣出兩張180 call，買入一張185 call，成本1.5。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1033,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,,"butterfly, stock",,,"股價為180, 228%",也就是說，只要週五收盤，英偉達股價在這個區間裡，這個蝴蝶策略都為盈利，股價為180時，盈利達到最大值228%。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1034,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,open,butterfly,,,,週二當天完整的開倉了這套蝴蝶策略，平靜的等待結果的到來。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1052,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,,"butterfly, stock",,,"股價跌到了173.95, 52000元",截止週四9點40分，英偉達股價跌到了173.95，而阿寶的蝴蝶策略已經虧損了將近52000元。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1053,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,butterfly,,,,在這一刻，我毅然決然的將蝴蝶拆腿。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1054,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,butterfly,,,,還記得蝴蝶策略的構成部分嗎？
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1055,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,"buy, sell",call,"一張, 兩張, 一張","175 call, 180 call, 185 call","買入一張175 , 賣出兩張180 , 買入一張185 ",買入一張175 call，賣出兩張180 call，買入一張185 call。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1056,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,close,"call, butterfly",,"180 call, 185 call, 175 call",,這蝴蝶策略一共3條腿，我拆去了其中兩條，我平倉了180 call和185 call，留下了175 call。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1057,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,"open, close",call,,175 call,,並將平倉後獲得的額外資金，用於開倉更多的175 call。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1058,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,"call, butterfly",,175 call,,在這般操作之下，原本175、180、185的蝴蝶也就變成了175 call的單腿期權。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1059,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,"call, butterfly",,175 call,,蝴蝶本有雙翼三腿，如今我掐了翅膀，減去其中兩條腿，只留下175 call這一條單腿。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1065,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,"call, butterfly",,,,阿寶透過拆腿，蝴蝶變成單腿call，滿滿的吃掉了這波市場認錯後的回升，賬戶也一口氣漲了7萬，來到了193000新高。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1066,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,"open, close","call, vertical_spread",,"172.5到175的, 175 call",,而隨後我平倉了175 call，開倉了172.5到175的牛市垂直價差。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1067,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,open,vertical_spread,,,,透過這個操作，我不僅鎖住了所有這波漲幅裡的利潤，還再次開倉了牛市垂直價差，乘勝追擊。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1068,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,open,vertical_spread,,,"成本是0.55, 收盤高於175",我開倉這組牛市垂直價差的成本是0.55，也就是說，只要週五英偉達收盤高於175，我就能吃滿這0.55的權利金。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1069,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,vertical_spread,,,"最大收益率為0.55, 28.2%",而這組牛市垂直價差的理論最大收益率為0.55除以2.5減0.55，也就是28.2%。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1070,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,vertical_spread,,,,扭虧為盈之後，我並未就此退場，而是憑藉著新的牛市垂直價差策略開始了新一輪的乘勝追擊。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1073,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,butterfly,,,,回顧這波瀾壯闊的一天，開盤10分鐘，蝴蝶策略虧損5萬。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1074,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,"call, butterfly",,,,接著我把蝴蝶拆腿變call，盈利7萬。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1075,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,open,vertical_spread,,,,之後同一天內，我開倉垂直價差再次盈利2.6萬。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1077,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,,vertical_spread,,,收盤178.19,英偉達最終週五收盤178.19，高於我的牛市垂直價差的175策略獲得了最大盈利。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1079,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,close,"call, vertical_spread, butterfly",,"172.5到175的垂直價差, 175 call",,那麼這一週我一共切換了三個不同的策略，先是週二開180蝴蝶，在週四拆腿變為175 call，週四再平倉變為172.5到175的垂直價差。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1083,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,,,,,而這一週的扭虧為盈所依靠的並非是運氣，而是我多年 積累的經驗與技術，這才是我能臨陣拆腿改變期權結構，從而徹底逆風翻牌的底氣。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1088,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,short,,,,,而逢高就要做空，而做空的點位該如何選擇呢？
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1089,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,close,call,,,,阿寶先看了本週的期權未平倉數量，發現未平倉最多的是190的價位上有14萬張call。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1090,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,short,,,,,於是我就毫不猶豫的選擇了190作為做空的點位。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1091,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,call,,,,劉逝14萬張call，在190的價位上將會建起一道宛如天塹的call wall。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1092,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,"close, long","call, stock",,,,看漲期權牆指的是某個股票在某個價格位置上有大量的未平倉看漲期權。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1094,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,short,,,,,所以我決定就順著這道天塹，再次做空，狙擊多頭。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1095,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,,,,,判斷好點位和方向後，我立刻制定了本週的期權策略。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1096,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,"buy, sell, short","call, put, vertical_spread","一張, 一張","190到192.5的, 190 call, 192.5 call",成本0.3,採取的是190到192.5的看跌垂直價差，賣一張190 call，買一張192.5 call，成本0.3。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1097,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,,vertical_spread,,,最大盈利0.3,也就是說，只要英偉達週五低於190，阿寶將獲得每組垂直價差最大盈利0.3。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1098,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,short,,,,,我之所以選擇在190做空有三個理由。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1102,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,short,stock,,,,我在190做空等於是在一個股價從未達到的位置做空。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1103,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,short,stock,,,股價如果想要漲到190,那英偉達股價如果想要漲到190，會有很強的阻力，這阻力就是我做空的保護傘。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1104,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,,call,,,,第三就是我之前提到的英偉達190存在巨大的call wall，這是期權結構上的利空。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1105,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,"call, stock",,,股價難以穩步站上190,190的call wall會使得股價難以穩步站上190。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1106,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",META,long,"call, stock",,,股價壓在190,而根據做市商殺期權原則，做市商也會將股價壓在190之下，殺死絕大多數的看漲期權，這與阿寶的策略相一致，我所選定的策略就註定了有做市商 是我9月30號週二Meta給了140億美金的大訂單，側面印證了AI需求強勁。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1114,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,sell,,,,,是賣出鎖定利潤還是在高位繼續追漲？
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1117,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,buy,,,,"收盤186美元, 186美元",英偉達週二收盤186美元， 那麼問題來了，在這個價位繼續買入的究竟是誰？
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1123,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,"buy, sell, take_profit",,,,,我立刻意識到這是有大機構在當下的高價大量出貨，這說明有大量的獲利盤會選擇在當下的價格獲利了結賣出，買方力量弱於賣方，週三收盤。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1129,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,"buy, sell",,,,,阿寶解讀為190存在大量獲利盤賣出，賣方力量壓倒買方力量。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1132,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,close,call,,,,我發現本週190的價位上有14萬個call未平倉。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1133,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,stock,,,股價低於190,根據做市商殺期權原則，我判斷做市商會推動股價低於190，將這些期權全部殺死。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1134,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,short,"put, vertical_spread",兩組,,,透過這兩組資料證據，我堅定了繼續持有190看跌垂直價差的觀點。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1137,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,,vertical_spread,,,1.5%,時間僅僅剩下一天，只要英偉達接下來的一天裡 跌、橫盤或者漲幅低於1.5%，阿寶的垂直價差策略就能獲得最大盈利。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1141,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",NVDA,"buy, open",,,,,早上9點半至10點是散戶入場的時間，他們FOMO入場在190之上的價格對著英偉達買買買。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1146,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,,call,,"190 call, call 11",,我看見了做市商殺期權，要殺光190 call 11萬張。
3,-EerUGO-j0k_美股实盘4千__28万 总集篇.md,美股实盘4千__28万 总集篇,usable,1151,"NVDA, META, BTC, TSLA, AVGO, AMD, ORCL",,short,"put, vertical_spread",,,,最終，週五阿寶的看跌垂直價差吃滿了最大盈利。
5,13gV1I8lefk_I was broke.md,I was broke,usable,12,"NVDA, CAR, ETH",,buy,call,,,,"So, whenever there was a pullback, it was basically a chance to buy the dip."
5,13gV1I8lefk_I was broke.md,I was broke,usable,13,"NVDA, CAR, ETH",,buy,,,,,"So, as the price kept dropping, I kept buying all the way down."
5,13gV1I8lefk_I was broke.md,I was broke,usable,29,"NVDA, CAR, ETH",,,put,,,,That feeling How should I put it?
5,13gV1I8lefk_I was broke.md,I was broke,usable,35,"NVDA, CAR, ETH",NVDA,,"call, stock",,,,"At that time, not only was I heavily invested in Nvidia shares, but I also had a big position in Nvidia calls."
5,13gV1I8lefk_I was broke.md,I was broke,usable,36,"NVDA, CAR, ETH",CAR,,,,,,"Anyone who trades options knows what the scariest thing about options is, right?"
5,13gV1I8lefk_I was broke.md,I was broke,usable,38,"NVDA, CAR, ETH",,,call,,,"5%, 50%","If the stock price drops 5%, your call option could lose 50% of its value just like that."
5,13gV1I8lefk_I was broke.md,I was broke,usable,39,"NVDA, CAR, ETH",,,call,,,10%,"If the stock price drops 10%, your call is basically worthless."
5,13gV1I8lefk_I was broke.md,I was broke,usable,41,"NVDA, CAR, ETH",,,,,,,"And with options, you can't do anything during after-hours trading because the exchanges are closed, so there's no way to cut your losses."
5,13gV1I8lefk_I was broke.md,I was broke,usable,43,"NVDA, CAR, ETH",,,put,,,,"So, there was really no chance to recover or fix That night, I just turned off the lights and sat in front of my computer, listening."
5,13gV1I8lefk_I was broke.md,I was broke,usable,44,"NVDA, CAR, ETH",,,put,,,,The fan of my computer was buzzing non-stop.
5,13gV1I8lefk_I was broke.md,I was broke,usable,66,"NVDA, CAR, ETH",,,,,,,"And then, we should understand that options are a double-edged sword."
5,13gV1I8lefk_I was broke.md,I was broke,usable,67,"NVDA, CAR, ETH",,all_in,call,,,,"You really have to be aware of this, because in a world of high volatility and high risk, going all in on options is basically dancing on the edge of a knife."
5,13gV1I8lefk_I was broke.md,I was broke,usable,68,"NVDA, CAR, ETH",ETH,,call,,,3%,"I I mentioned a method on my show before called the mortal cultivation method, which means you should only use 3% of your portfolio for options trading."
5,13gV1I8lefk_I was broke.md,I was broke,usable,69,"NVDA, CAR, ETH",,all_in,,,,,You should never go all in on options.
5,13gV1I8lefk_I was broke.md,I was broke,usable,76,"NVDA, CAR, ETH",,long,,,,,"Like the saying goes, as long as the green hills remain, there will always be wood to burn."
5,13gV1I8lefk_I was broke.md,I was broke,usable,91,"NVDA, CAR, ETH",,long,,,,,"As long as you don't hit that give up button, you'll always have another chance."
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,4,"NVDA, ORCL",NVDA,"buy, long, all_in","call, vertical_spread",1800組,185和187.5的,"買入了1800, 收盤大於187.5",而4月13號到4月17號這周，我梭哈了所有的28萬美金，買入了1800組週五到期的185和187.5的英偉達看漲垂直價差，下注英偉達週五收盤大於187.5。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,5,"NVDA, ORCL",,long,,,,,在我的交易思路中，有兩個做多的原因。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,17,"NVDA, ORCL",,"open, long",call,,,,所以你們回頭看我的分析，我這是基於我獨創的戀愛分析法，提前預判出伊朗要妥協，所以提前開倉看漲策略佈局。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,19,"NVDA, ORCL",NVDA,open,,,,,我開倉的第二個原因是我觀察了本週英偉達期權的分佈，和上週簡直一模一樣。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,20,"NVDA, ORCL",,"close, long",call,,195到200,,未平倉量前六的全都是清一色的看漲期權，從185、187.5、190、195到200。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,21,"NVDA, ORCL",NVDA,,,,,,所以就讓我們先來溫故而知新一下，回顧一下上週的英偉達期權結構和我的判斷思路。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,22,"NVDA, ORCL",,long,call,,,,我從伽瑪擠壓原則分析，前列的期權全部都是看漲期權。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,24,"NVDA, ORCL",,,,,,,你們要知道這樣的期權結構是很少見到的。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,25,"NVDA, ORCL",NVDA,"long, short","call, put",,,,之前英偉達每週的期權基本上前六不可能是清一色的看漲期權，基本上都是看跌看漲參半，而這就會造成殺期權，而不是伽瑪擠壓。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,26,"NVDA, ORCL",,long,call,,,,可是本週不一樣，持倉量排名前六的期權清一色都是看漲期權，這就讓我判斷會發生伽瑪擠壓。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,28,"NVDA, ORCL",,"buy, long","call, stock",,,,如果你是做市商，在面臨散戶和機構買入如此龐大數字的看漲期權時，而股價又在不斷上行，你會怎麼辦？
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,29,"NVDA, ORCL",,buy,stock,,,,沒錯，你會不得不買入大量的正股來對沖風險，從而推動股價的上漲。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,30,"NVDA, ORCL",,,stock,,,,而隨著股價上漲，虛值期權變為實值，期權的伽瑪，也就是期權價格變化的二階導陡然增大。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,31,"NVDA, ORCL",,buy,stock,,,,做市商需要加速買入更多的正股來維持對沖，形成買入、漲價、更多買入的惡性循環。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,33,"NVDA, ORCL",,,,,185到190,,而且你們看好這一次的期權結構，前六分別是從180、182.5、185到190。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,35,"NVDA, ORCL",NVDA,buy,stock,,,,假設英偉達站上180，180的期權會發生伽瑪擠壓，那麼做市商會被迫買入股票拉高股價。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,37,"NVDA, ORCL",,buy,stock,,,"股價，而當股價拉漲至185, 股價從而繼續拉昇，來到187.5",做市商再次被迫買入股票，繼續拉高股價，而當股價拉漲至185時，就會發生第三次伽瑪擠壓，做市商不得不再次買入更多的股票，股價從而繼續拉昇，來到187.5。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,39,"NVDA, ORCL",,long,call,,,,187.5的看漲期權的數量沒有之前的執行價數量多，排不進前六，只排在第九。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,40,"NVDA, ORCL",,buy,stock,,,,所以187.5的伽瑪擠壓就會弱一些，做市商買入的股票就會少一些。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,44,"NVDA, ORCL",NVDA,buy,stock,,,,那麼這周我們用一樣的方法可以推匯出英偉達會和上週一樣一路發生伽瑪擠壓，做市商不得不買入更多的股票，繼續觸發上漲。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,45,"NVDA, ORCL",NVDA,"open, long","call, vertical_spread",,,,這就是我全部開倉英偉達看漲垂直價差策略的交易邏輯。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,46,"NVDA, ORCL",,,,,,,殺期權原則和戀愛分析法是我在市場中無數次血腥搏殺後磨練出來的交易系統。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,47,"NVDA, ORCL",,,,,,,大家可以在我的主頁看到這個殺期權教學影片，這是我唯一的付費教學影片，毫無保留地教大家殺期權判斷點位的方法，值得學習。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,49,"NVDA, ORCL",,"long, all_in",,,,,那麼既然基本面技術面全部利好，我自然就梭哈了28萬美金，全力一擊做多。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,50,"NVDA, ORCL",NVDA,"take_profit, long","call, stock",,,,而最終的股價走勢也和我推演的一模一樣，英偉達一路伽瑪擠壓來到了199，而我也在這裡選擇止盈了垂直看漲策略。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,51,"NVDA, ORCL",,"buy, sell, take_profit, long","call, vertical_spread",,1.8和1.9,"止盈，吃滿了最大盈利，收益率33%, 33%",我分別在1.8和1.9分批次買入的看漲垂直價差策略，最終在2.45賣出止盈，吃滿了最大盈利，收益率33%。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,67,"NVDA, ORCL","NVDA, ORCL",take_profit,,,,,而在英偉達止盈之後，我轉身在市場別的角落找到了一個更好的機會，那就是被資本錯殺的Oracle。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,84,"NVDA, ORCL",,open,,,,,而基本面再好，如果入場時機不對，一樣會被套得很難受。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,99,"NVDA, ORCL",,open,,,,,我這裡非常無私，發現入場時機後，第一時間告訴了群友，讓群友先搶跑，自己則在群友之後入場。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,100,"NVDA, ORCL","NVDA, ORCL","buy, take_profit, long",call,"2000張, 近2000張",,"買入了近2000, 成本2.23",我在止盈英偉達垂直看漲策略之後，用全部的44萬利潤買入了近2000張Oracle的看漲期權，成本2.23，後路均有。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,101,"NVDA, ORCL",,"long, all_in",call,,,,雖然因為我是等到了看漲吞沒的K線訊號之後再入的場，沒有吃到那根擎天柱一樣的大陽線，但是我果斷追漲，全倉梭哈，重倉猛幹。
6,2NdCFoZZGQk_美股实盘10万赚100万_88万了.md,美股实盘10万赚100万_88万了,usable,105,"NVDA, ORCL",,,call,,,,而我更欣賞的是另外一個詞，Hero call，就是明知有風險，卻依然堅定選擇的跟注。
